sku,price,price_tienda,price_tarjeta,retail,date,time
20147381,,,,plaza_vea,2022-08-21,21:00
20147047,27.99,29.7,,plaza_vea,2022-08-21,21:00
20136609,7.59,,,plaza_vea,2022-08-21,21:00
20136607,7.59,,,plaza_vea,2022-08-21,21:00
985158,11.8,,,plaza_vea,2022-08-21,21:00
20147381,,,,plaza_vea,2022-08-21,22:00
20147047,27.99,29.7,,plaza_vea,2022-08-21,22:00
20136609,7.59,,,plaza_vea,2022-08-21,22:00
20136607,7.59,,,plaza_vea,2022-08-21,22:00
985158,11.8,,,plaza_vea,2022-08-21,22:00
20147381,,,,plaza_vea,2022-08-21,23:00
20147047,27.99,29.7,,plaza_vea,2022-08-21,23:00
20136609,7.59,,,plaza_vea,2022-08-21,23:00
20136607,7.59,,,plaza_vea,2022-08-21,23:00
985158,11.8,,,plaza_vea,2022-08-21,23:00
36232,5.9,7.9,,plaza_vea,2022-08-21,23:00
20189584,9.9,10.8,,plaza_vea,2022-08-21,23:00
20109810,13.5,,,plaza_vea,2022-08-21,23:00
20104096,10.0,10.5,,plaza_vea,2022-08-21,23:00
20102589,11.8,,,plaza_vea,2022-08-21,23:00
20109809,13.5,,,plaza_vea,2022-08-21,23:00
121306,20.2,,,plaza_vea,2022-08-21,23:00
20035109,13.5,,,plaza_vea,2022-08-21,23:00
20237872,10.8,,,plaza_vea,2022-08-21,23:00
20237874,10.8,,,plaza_vea,2022-08-21,23:00
20200182,20.5,,,plaza_vea,2022-08-21,23:00
20198128,19.5,,,plaza_vea,2022-08-21,23:00
20183308,16.0,17.9,,plaza_vea,2022-08-21,23:00
35671,5.9,,,plaza_vea,2022-08-21,23:00
20109811,13.5,,,plaza_vea,2022-08-21,23:00
20102587,11.8,,,plaza_vea,2022-08-21,23:00
20102588,11.8,,,plaza_vea,2022-08-21,23:00
20104289,14.5,16.9,,plaza_vea,2022-08-21,23:00
109849,20.2,,,plaza_vea,2022-08-21,23:00
109850,20.2,,,plaza_vea,2022-08-21,23:00
S000000449,9.9,11.9,,plaza_vea,2022-08-21,23:00
20183299,16.0,17.9,,plaza_vea,2022-08-21,23:00
5063,5.9,,,plaza_vea,2022-08-21,23:00
20102556,26.0,27.0,,plaza_vea,2022-08-21,23:00
20111231,4.7,,,plaza_vea,2022-08-21,23:00
118819,7.5,,,plaza_vea,2022-08-21,23:00
76296,6.6,,,plaza_vea,2022-08-21,23:00
20075684,5.5,6.0,,plaza_vea,2022-08-21,23:00
20280275,44.9,,,plaza_vea,2022-08-21,23:00
20057689,7.5,,,plaza_vea,2022-08-21,23:00
29856,7.5,,,plaza_vea,2022-08-21,23:00
K0000000773,16.9,19.6,,plaza_vea,2022-08-21,23:00
K0000000776,16.9,19.6,,plaza_vea,2022-08-21,23:00
s000000163,59.9,68.9,,plaza_vea,2022-08-21,23:00
K0000004283,9.8,12.1,,plaza_vea,2022-08-21,23:00
K0000003371,44.9,49.5,,plaza_vea,2022-08-21,23:00
K0000000775,16.9,19.6,,plaza_vea,2022-08-21,23:00
K0000000774,16.9,19.6,,plaza_vea,2022-08-21,23:00
K0000000772,16.9,19.6,,plaza_vea,2022-08-21,23:00
K0000000771,16.9,19.6,,plaza_vea,2022-08-21,23:00
K0000000770,16.9,19.6,,plaza_vea,2022-08-21,23:00
K0000000769,16.9,19.6,,plaza_vea,2022-08-21,23:00
20205676,59.9,62.9,,plaza_vea,2022-08-21,23:00
20199271,219.9,289.9,,plaza_vea,2022-08-21,23:00
S000000311,124.9,130.9,,plaza_vea,2022-08-21,23:00
567971,11.99,14.99,,wong,2022-08-21,23:00
567974,59.99,,,wong,2022-08-21,23:00
567977,70.99,,,wong,2022-08-21,23:00
567987,33.99,,,wong,2022-08-21,23:00
567991,44.99,,,wong,2022-08-21,23:00
713719,7.99,,,wong,2022-08-21,23:00
517411,11.8,,,wong,2022-08-21,23:00
59536002,6.6,,,wong,2022-08-21,23:00
517410,11.8,,,wong,2022-08-21,23:00
772390,9.9,10.8,,wong,2022-08-21,23:00
418033,6.6,,,wong,2022-08-21,23:00
969015,8.0,,,wong,2022-08-21,23:00
942302,10.8,,,wong,2022-08-21,23:00
472088,6.0,,,wong,2022-08-21,23:00
3817,5.9,,,wong,2022-08-21,23:00
59538001,6.6,,,wong,2022-08-21,23:00
203646,6.6,,,wong,2022-08-21,23:00
159727,7.5,,,wong,2022-08-21,23:00
13188,2.15,,,wong,2022-08-21,23:00
703743,1.2,,,wong,2022-08-21,23:00
889646,8.9,9.9,,wong,2022-08-21,23:00
710504,5.5,,,wong,2022-08-21,23:00
148357,20.2,,,wong,2022-08-21,23:00
62288,7.5,,,wong,2022-08-21,23:00
953914,8.0,,,wong,2022-08-21,23:00
944474,7.5,,,wong,2022-08-21,23:00
889645,10.5,,,wong,2022-08-21,23:00
749654,5.4,,,wong,2022-08-21,23:00
520834,12.9,13.9,,wong,2022-08-21,23:00
103181,2.2,,,wong,2022-08-21,23:00
63807,8.5,9.0,,wong,2022-08-21,23:00
3824,5.2,,,wong,2022-08-21,23:00
388713,8.0,,,wong,2022-08-21,23:00
499900,9.5,,,wong,2022-08-21,23:00
465586,2.49,,,wong,2022-08-21,23:00
465585,5.5,5.99,,wong,2022-08-21,23:00
65761,5.9,7.9,,wong,2022-08-21,23:00
15775,2.2,,,wong,2022-08-21,23:00
713717,7.99,,,wong,2022-08-21,23:00
535862,13.5,,,wong,2022-08-21,23:00
535860,13.5,,,wong,2022-08-21,23:00
206097,11.8,,,wong,2022-08-21,23:00
414938,13.5,,,wong,2022-08-21,23:00
535861,13.5,,,wong,2022-08-21,23:00
358463,4.7,,,wong,2022-08-21,23:00
59539001,2.7,,,wong,2022-08-21,23:00
3814,2.7,,,wong,2022-08-21,23:00
716269,4.7,,,wong,2022-08-21,23:00
534755,4.7,,,wong,2022-08-21,23:00
501573,2.7,,,wong,2022-08-21,23:00
62760,5.5,,,wong,2022-08-21,23:00
436342,5.5,5.99,,wong,2022-08-21,23:00
45035,11.2,,,wong,2022-08-21,23:00
13189,2.15,,,wong,2022-08-21,23:00
447276,7.5,,,wong,2022-08-21,23:00
772062,15.99,17.9,,wong,2022-08-21,23:00
749566,2.2,,,wong,2022-08-21,23:00
422251,2.8,,,wong,2022-08-21,23:00
45190,11.2,,,wong,2022-08-21,23:00
782572,289.9,,,wong,2022-08-21,23:00
889683,28.9,,,wong,2022-08-21,23:00
889682,28.9,,,wong,2022-08-21,23:00
953915,14.4,,,wong,2022-08-21,23:00
953916,14.4,,,wong,2022-08-21,23:00
889678,19.9,,,wong,2022-08-21,23:00
889679,21.9,,,wong,2022-08-21,23:00
904720,17.9,,,wong,2022-08-21,23:00
923936,38.1,,,wong,2022-08-21,23:00
923937,38.1,,,wong,2022-08-21,23:00
710502,1.5,,,wong,2022-08-21,23:00
317712,20.2,,,wong,2022-08-21,23:00
949133,,,,wong,2022-08-21,23:00
722253,,,,wong,2022-08-21,23:00
709559,25.99,27.0,,wong,2022-08-21,23:00
792355,19.5,,,wong,2022-08-21,23:00
