description,sku,retail,uri,price_type
Gaseosa COCA COLA + INCA KOLA Botella 3L Paquete 3un,20147381,plaza_vea,https://www.plazavea.com.pe/gaseosa-coca-cola-inca-kola-botella-3l-paquete-3un/p,tienda
Gaseosa INCA KOLA + COCA COLA Botella 3L Paquete 3un,20147047,plaza_vea,https://www.plazavea.com.pe/gaseosa-inca-kola-coca-cola-botella-3l-paquete-3un/p,tienda
Gaseosa INCA KOLA Sin Azúcar Botella 300ml Paquete 6un,20136609,plaza_vea,https://www.plazavea.com.pe/gaseosa-inca-kola-sin-azucar-botella-300ml-paquete-6un/p,tienda
Gaseosa COCA COLA Sin Azúcar Botella 300ml Paquete 6un,20136607,plaza_vea,https://www.plazavea.com.pe/gaseosa-coca-cola-sin-azucar-botella-300ml-paquete-6-un/p,tienda
Gaseosa COCA COLA Sin Azúcar 2Pack Botella 1.5L,985158,plaza_vea,https://www.plazavea.com.pe/gaseosa-coca-cola-sin-azucar-2-pack-botella-1-5l/p,tienda
Gaseosa GUARANÁ Botella 3L,36232,plaza_vea,https://www.plazavea.com.pe/gaseosa-guarana-botella-3l/p,tienda
Gaseosa SCHWEPPES Ginger Ale Botella 1.5L Paquete 2un,20189584,plaza_vea,https://www.plazavea.com.pe/gaseosa-schweppes-ginger-ale-botella-1-5l-paquete-2un/p,tienda
Gaseosa INCA KOLA Botella 500ml Paquete 6un,20109810,plaza_vea,https://www.plazavea.com.pe/gaseosa-inca-kola-botella-500ml-paquete-6un/p,tienda
Gaseosa EVERVESS Ginger Ale Botella 1.5L Pack 2un,20104096,plaza_vea,https://www.plazavea.com.pe/gaseosa-evervess-ginger-ale-botella-1-5l-pack-2un/p,tienda
Gaseosa INCA KOLA Sin Azúcar Botella 1.5L Paquete 2Un,20102589,plaza_vea,https://www.plazavea.com.pe/gaseosa-inca-kola-sin-azucar-botella-1-5l-paquete-2un/p,tienda
Gaseosa COCA COLA Sin Azúcar 6 Pack Botella 500ml,20109809,plaza_vea,https://www.plazavea.com.pe/gaseosa-coca-cola-zero-6-pack-botella-500ml/p,tienda
Gaseosa COCA COLA + INCA KOLA 2Pack Botella 3L,121306,plaza_vea,https://www.plazavea.com.pe/gaseosa-coca-cola-inca-kola-2-pack-botella-3l/p,tienda
Gaseosa COCA COLA Paquete 6un Botella 500ml,20035109,plaza_vea,https://www.plazavea.com.pe/gaseosa-coca-cola-paquete-6un-botella-500ml/p,tienda
Gaseosa SPRITE Botella 500ml Paquete 6un,20237872,plaza_vea,https://www.plazavea.com.pe/gaseosa-sprite-botella-500ml-paquete-6un/p,tienda
Gaseosa FANTA Naranja Botella 500ml Paquete 6un,20237874,plaza_vea,https://www.plazavea.com.pe/gaseosa-fanta-naranja-botella-500ml-paquete-6un/p,tienda
Gaseosas INCA KOLA + FANTA + SPRITE Botella 3L Paquete 3un,20200182,plaza_vea,https://www.plazavea.com.pe/gaseosas-inca-kolafantasprite-botella-3l-paquete-3un/p,tienda
Gaseosa FANTA Naranja + FANTA Kola Inglesa + SPRITE Botella 3L Paquete 3un,20198128,plaza_vea,https://www.plazavea.com.pe/gaseosa-fanta-naranjafanta-kola-inglesasprite-botella-3l-paquete-3un/p,tienda
Gaseosa PEPSI + 7UP + CONCORDIA Piña Botella 3L Paquete 3un,20183308,plaza_vea,https://www.plazavea.com.pe/gaseosa-pepsi-7up-concordia-pina-botella-3l-paquete-3un/p,tienda
